"";"X";"tile";"xrange1";"xrange2";"yrange1";"yrange2";"istruzione";"salute";"trasporti";"qualifica";"servizi"
"69";69;"Tile row 5, col 16";1512475,59625243;1513093,86168442;5039765,55017712;5040318,09229281;0,333333333333333;0;0,238095238095238;0,666666666666667;0,0382775119617225
"70";70;"Tile row 5, col 17";1513093,86168442;1513712,12711641;5039765,55017712;5040318,09229281;0,666666666666667;0,411764705882353;0,0476190476190476;0,666666666666667;0,15311004784689
"71";71;"Tile row 5, col 18";1513712,12711641;1514330,3925484;5039765,55017712;5040318,09229281;0,333333333333333;0;0;1;0,062200956937799
"72";72;"Tile row 5, col 19";1514330,3925484;1514948,65799894;5039765,55017712;5040318,09229281;0,333333333333333;0,411764705882353;0,19047619047619;1;0,0717703349282297
"73";73;"Tile row 5, col 20";1514948,65799894;1515566,92343093;5039765,55017712;5040318,09229281;1;0,411764705882353;0,523809523809524;1;0,148325358851675
"74";74;"Tile row 5, col 21";1515566,92343093;1516185,18886292;5039765,55017712;5040318,09229281;0;0,411764705882353;0,714285714285714;1;0,172248803827751
"75";75;"Tile row 5, col 22";1516185,18886292;1516803,45431346;5039765,55017712;5040318,09229281;0,333333333333333;0,411764705882353;0,761904761904762;1;0,200956937799043
"76";76;"Tile row 5, col 23";1516803,45431346;1517421,71974545;5039765,55017712;5040318,09229281;0,333333333333333;0,294117647058824;0,40952380952381;0,333333333333333;0,129186602870813
"77";77;"Tile row 5, col 24";1517421,71974545;1518039,98519599;5039765,55017712;5040318,09229281;1;1;0,476190476190476;0,333333333333333;0,220095693779904
"78";78;"Tile row 5, col 25";1518039,98519599;1518658,25062798;5039765,55017712;5040318,09229281;0;0,411764705882353;0,380952380952381;0,333333333333333;0
"79";79;"Tile row 5, col 26";1518658,25062798;1519276,51605997;5039765,55017712;5040318,09229281;0,333333333333333;0;0,333333333333333;1;0,0334928229665072
"80";80;"Tile row 5, col 27";1519276,51605997;1519894,78151051;5039765,55017712;5040318,09229281;0,666666666666667;0;0,666666666666667;1;0,062200956937799
"81";81;"Tile row 5, col 28";1519894,78151051;1520513,0469425;5039765,55017712;5040318,09229281;0;0;0,428571428571429;1;0
"82";82;"Tile row 5, col 29";1520513,0469425;1521013,45216197;5039765,55017712;5040318,09229281;0;0;0,0476190476190476;0,666666666666667;0
"83";83;"Tile row 6, col 7";1507175,32642753;1507529,4727594;5039213,00806144;5039342,19106354;0;0;0;1;0
"84";84;"Tile row 6, col 8";1507529,4727594;1508147,73819139;5039213,00806144;5039765,55017712;0;0;0,0952380952380952;0,666666666666667;0
"85";85;"Tile row 6, col 9";1508147,73819139;1508766,00364193;5039213,00806144;5039765,55017712;0;0;0,19047619047619;1;0
"86";86;"Tile row 6, col 10";1508766,00364193;1509384,26907392;5039213,00806144;5039765,55017712;0;0;0,19047619047619;1;0
"87";87;"Tile row 6, col 11";1509384,26907392;1510002,53450591;5039213,00806144;5039765,55017712;0;0;0;1;0
"88";88;"Tile row 6, col 12";1510002,53450591;1510620,79995645;5039213,00806144;5039765,55017712;0;0,411764705882353;0,171428571428571;1;0,129186602870813
"89";89;"Tile row 6, col 13";1510620,79995645;1511239,06538844;5039213,00806144;5039765,55017712;0;0;0,285714285714286;0,666666666666667;0,143540669856459
"90";90;"Tile row 6, col 14";1511239,06538844;1511857,33082043;5039213,00806144;5039765,55017712;0;0;0;1;0
"91";91;"Tile row 6, col 15";1511857,33082043;1512475,59625243;5039213,00806144;5039765,55017712;0;0;0;0,666666666666667;0
"92";92;"Tile row 6, col 16";1512475,59625243;1513093,86168442;5039213,00806144;5039765,55017712;0;0;0,333333333333333;0,333333333333333;0
"93";93;"Tile row 6, col 17";1513093,86168442;1513712,12711641;5039213,00806144;5039765,55017712;0;0;0;0;0,062200956937799
"94";94;"Tile row 6, col 18";1513712,12711641;1514330,3925484;5039213,00806144;5039765,55017712;1;0,411764705882353;0;0,666666666666667;0,186602870813397
"95";95;"Tile row 6, col 19";1514330,3925484;1514948,65799894;5039213,00806144;5039765,55017712;0,333333333333333;0,294117647058824;0,428571428571429;1;0,0287081339712919
"96";96;"Tile row 6, col 20";1514948,65799894;1515566,92343093;5039213,00806144;5039765,55017712;0,666666666666667;0,411764705882353;0,476190476190476;1;0,31578947368421
"97";97;"Tile row 6, col 21";1515566,92343093;1516185,18886292;5039213,00806144;5039765,55017712;1;0;0,761904761904762;1;0,368421052631579
"98";98;"Tile row 6, col 22";1516185,18886292;1516803,45431346;5039213,00806144;5039765,55017712;0;0;0,333333333333333;0,333333333333333;0,0574162679425837
"99";99;"Tile row 6, col 23";1516803,45431346;1517421,71974545;5039213,00806144;5039765,55017712;0;0;0,0952380952380952;1;0,0287081339712919
"100";100;"Tile row 6, col 24";1517421,71974545;1518039,98519599;5039213,00806144;5039765,55017712;0,666666666666667;1;0,333333333333333;0,666666666666667;0,0669856459330143
"101";101;"Tile row 6, col 25";1518039,98519599;1518658,25062798;5039213,00806144;5039765,55017712;1;0,705882352941177;0,19047619047619;1;0,258373205741627
"102";102;"Tile row 6, col 26";1518658,25062798;1519276,51605997;5039213,00806144;5039765,55017712;0,333333333333333;0,705882352941177;0,0952380952380952;0,666666666666667;0,129186602870813
"103";103;"Tile row 6, col 27";1519276,51605997;1519894,78151051;5039213,00806144;5039765,55017712;0,333333333333333;0,705882352941177;0,666666666666667;1;0,196172248803828
"104";104;"Tile row 6, col 28";1519894,78151051;1520513,0469425;5039213,00806144;5039765,55017712;0;0;0,0952380952380952;1;0
"105";105;"Tile row 6, col 29";1520513,0469425;1521131,31237449;5039213,00806144;5039765,55017712;0,333333333333333;0;0,0952380952380952;0,666666666666667;0,0909090909090909
"106";106;"Tile row 6, col 30";1521131,31237449;1521509,53770921;5039213,00806144;5039566,13603595;0;0;0;1;0
"107";107;"Tile row 7, col 2";1504219,64458406;1504438,14556235;5038660,46596431;5039118,46030155;0;0;0;1;0
"108";108;"Tile row 7, col 3";1504438,14556235;1505056,41099434;5038660,46596431;5039122,45607071;0;0;0;1;0
"109";109;"Tile row 7, col 4";1505056,41099434;1505674,67644488;5038660,46596431;5039183,60106344;0;0;0;0,666666666666667;0
